tradingtime,deliverytime,price_down,price_up
2025-01-01 01:00:00,2025-01-01 01:00:00,38.412499999999994,33.5475
2025-01-01 02:00:00,2025-01-01 02:00:00,408.29,356.585
2025-01-01 03:00:00,2025-01-01 03:00:00,354.3225,309.0025
2025-01-01 04:00:00,2025-01-01 04:00:00,1.65,0.4350000000000005
2025-01-01 05:00:00,2025-01-01 05:00:00,12.4825,10.8975
2025-01-01 06:00:00,2025-01-01 06:00:00,13.1525,11.4925
2025-01-01 07:00:00,2025-01-01 07:00:00,13.004999999999999,11.365
2025-01-01 08:00:00,2025-01-01 08:00:00,12.995,11.35
2025-01-01 09:00:00,2025-01-01 09:00:00,-21.825,-24.994999999999997
2025-01-01 10:00:00,2025-01-01 10:00:00,0.61,0.535
2025-01-01 11:00:00,2025-01-01 11:00:00,15.782499999999999,13.7875
2025-01-01 12:00:00,2025-01-01 12:00:00,2.6525,2.3175
2025-01-01 13:00:00,2025-01-01 13:00:00,5.2524999999999995,3.9475000000000002
2025-01-01 14:00:00,2025-01-01 14:00:00,6.8025,5.9425
2025-01-01 15:00:00,2025-01-01 15:00:00,5.855,5.115
2025-01-01 16:00:00,2025-01-01 16:00:00,94.5725,82.5975
2025-01-01 17:00:00,2025-01-01 17:00:00,29.88,26.095
2025-01-01 18:00:00,2025-01-01 18:00:00,22.4475,19.6025
2025-01-01 19:00:00,2025-01-01 19:00:00,5.815,5.08
2025-01-01 20:00:00,2025-01-01 20:00:00,21.6325,18.2675
2025-01-01 21:00:00,2025-01-01 21:00:00,26.4375,23.0925
2025-01-01 22:00:00,2025-01-01 22:00:00,31.295,26.7
2025-01-01 23:00:00,2025-01-01 23:00:00,25.822500000000005,17.1675
2025-01-02 00:00:00,2025-01-02 00:00:00,8.7775,7.3275
2025-01-02 01:00:00,2025-01-02 01:00:00,13.35,11.66
2025-01-02 02:00:00,2025-01-02 02:00:00,11.9825,10.467500000000001
2025-01-02 03:00:00,2025-01-02 03:00:00,12.365,10.8
2025-01-02 04:00:00,2025-01-02 04:00:00,14.9025,13.0125
2025-01-02 05:00:00,2025-01-02 05:00:00,31.905,27.865
2025-01-02 06:00:00,2025-01-02 06:00:00,50.41,44.019999999999996
2025-01-02 07:00:00,2025-01-02 07:00:00,64.665,56.475
2025-01-02 08:00:00,2025-01-02 08:00:00,71.53999999999999,62.48
2025-01-02 09:00:00,2025-01-02 09:00:00,71.5425,62.4825
2025-01-02 10:00:00,2025-01-02 10:00:00,82.44500000000001,72.0
2025-01-02 11:00:00,2025-01-02 11:00:00,86.5825,75.6125
2025-01-02 12:00:00,2025-01-02 12:00:00,121.9575,106.5125
